"customer_key","customer_number","customer_name","age","age_group","customer_group","total_orders","total_sales","total_quantity","total_products","last_order","lifespan_month","recency","avg_order_value","avg_monthly_spend"
40,AW00011039,Marc Martin,70,Above 50,VIP,3,6636,9,8,"2013-11-11",34,137,2212.0000,195.1765
41,AW00011040,Jesse Murphy,42,"40-49",NEW,1,2351,3,3,"2013-04-03",0,144,2351.0000,2351
42,AW00011041,Amanda Carter,42,"40-49",NEW,1,2381,3,3,"2013-01-14",0,147,2381.0000,2381
43,AW00011042,Megan Sanchez,42,"40-49",NEW,2,3112,3,3,"2013-10-17",9,138,1556.0000,345.7778
44,AW00011043,Nathan Simmons,43,"40-49",NEW,2,48,3,3,"2013-08-18",3,140,24.0000,16.0000
45,AW00011044,Adam Flores,70,Above 50,VIP,3,6515,7,7,"2013-11-08",33,137,2171.6667,197.4242
46,AW00011045,Leonard Nara,69,Above 50,NEW,2,115,4,4,"2013-10-29",7,138,57.5000,16.4286
47,AW00011046,Christine Yuan,69,Above 50,VIP,3,6616,6,6,"2013-11-12",34,137,2205.3333,194.5882
48,AW00011047,Jaclyn Lu,69,Above 50,VIP,3,6582,4,4,"2013-11-19",34,137,2194.0000,193.5882
49,AW00011048,Jeremy Powell,68,Above 50,VIP,3,6498,8,8,"2013-12-25",35,136,2166.0000,185.6571
50,AW00011049,Carol Rai,39,"30-39",NEW,2,81,5,5,"2013-10-29",8,138,40.5000,10.1250
51,AW00011050,Alan Zheng,68,Above 50,VIP,3,5007,6,6,"2013-11-19",33,137,1669.0000,151.7273
52,AW00011051,Daniel Johnson,68,Above 50,NEW,2,124,5,5,"2014-01-01",0,135,62.0000,124
53,AW00011052,Heidi Lopez,68,Above 50,VIP,3,8131,7,7,"2013-05-27",28,143,2710.3333,290.3929
54,AW00011053,Ana Price,39,"30-39",NEW,1,2330,2,2,"2013-01-17",0,147,2330.0000,2330
55,AW00011054,Deanna Munoz,67,Above 50,VIP,3,8223,6,6,"2013-05-30",28,143,2741.0000,293.6786
56,AW00011055,Gilbert Raje,67,Above 50,VIP,3,8168,8,8,"2013-06-07",29,142,2722.6667,281.6552
57,AW00011056,Michele Nath,66,Above 50,VIP,3,8207,8,8,"2013-05-31",28,142,2735.6667,293.1071
58,AW00011057,Carl Andersen,55,Above 50,VIP,3,8088,4,4,"2013-05-21",27,143,2696.0000,299.5556
59,AW00011058,Marc Diaz,60,Above 50,VIP,3,8248,6,6,"2013-06-04",27,142,2749.3333,305.4815
60,AW00011059,Ashlee Andersen,65,Above 50,NEW,3,117,7,6,"2013-03-16",1,145,39.0000,117.0000
61,AW00011060,Jon Zhou,65,Above 50,VIP,3,8153,6,6,"2013-06-25",28,142,2717.6667,291.1786
62,AW00011061,Todd Gao,49,"40-49",VIP,3,8129,6,6,"2013-06-14",27,142,2709.6667,301.0741
63,AW00011062,Noah Powell,44,"40-49",NEW,1,2352,3,3,"2013-01-07",0,147,2352.0000,2352
64,AW00011063,Angela Murphy,44,"40-49",NEW,1,2373,5,5,"2013-01-12",0,147,2373.0000,2373
65,AW00011064,Chase Reed,43,"40-49",NEW,1,2305,2,2,"2013-01-25",0,147,2305.0000,2305
66,AW00011065,Jessica Henderson,46,"40-49",NEW,2,202,5,4,"2014-01-10",11,135,101.0000,18.3636
67,AW00011066,Grace Butler,45,"40-49",NEW,2,81,5,5,"2013-09-19",4,139,40.5000,20.2500
68,AW00011067,Caleb Carter,43,"40-49",NEW,2,105,6,6,"2014-01-12",5,135,52.5000,21.0000
69,AW00011068,Tiffany Liang,58,Above 50,NEW,3,113,9,8,"2013-10-08",5,138,37.6667,22.6000
70,AW00011069,Carolyn Navarro,58,Above 50,VIP,3,8104,3,3,"2013-06-04",26,142,2701.3333,311.6923
71,AW00011070,Willie Raji,64,Above 50,VIP,3,8165,10,9,"2013-06-26",26,142,2721.6667,314.0385
72,AW00011071,Linda Serrano,64,Above 50,NEW,3,110,7,6,"2013-12-01",9,136,36.6667,12.2222
73,AW00011072,Casey Luo,64,Above 50,VIP,3,8194,7,7,"2013-06-15",27,142,2731.3333,303.4815
74,AW00011073,Amy Ye,63,Above 50,NEW,3,192,10,9,"2013-08-21",5,140,64.0000,38.4000
75,AW00011074,Levi Arun,63,Above 50,NEW,3,94,7,7,"2013-05-27",2,143,31.3333,47.0000
76,AW00011075,Felicia Jimenez,61,Above 50,VIP,3,8068,5,5,"2013-06-24",26,142,2689.3333,310.3077
77,AW00011076,Blake Anderson,62,Above 50,VIP,3,8159,4,4,"2013-06-21",26,142,2719.6667,313.8077
78,AW00011077,Leah Ye,62,Above 50,VIP,3,8169,5,5,"2013-06-12",26,142,2723.0000,314.1923
79,AW00011078,Gina Martin,40,"40-49",REGULAR,17,912,31,23,"2014-01-28",12,135,53.6471,76.0000
80,AW00011079,Donald Gonzalez,55,Above 50,NEW,3,58,5,5,"2014-01-01",10,135,19.3333,5.8000
81,AW00011080,Damien Chander,60,Above 50,VIP,3,8204,7,7,"2013-06-23",27,142,2734.6667,303.8519
82,AW00011081,Savannah Baker,53,Above 50,NEW,2,104,5,5,"2013-04-13",2,144,52.0000,52.0000
83,AW00011082,Angela Butler,53,Above 50,NEW,2,3110,6,6,"2013-11-06",10,137,1555.0000,311.0000
84,AW00011083,Alyssa Cox,48,"40-49",NEW,2,3137,5,5,"2013-11-08",10,137,1568.5000,313.7000
85,AW00011084,Lucas Phillips,62,Above 50,NEW,2,3078,5,5,"2013-11-21",11,137,1539.0000,279.8182
86,AW00011085,Emily Johnson,62,Above 50,NEW,2,129,5,5,"2014-01-08",1,135,64.5000,129.0000
87,AW00011086,Ryan Brown,61,Above 50,NEW,2,153,6,6,"2013-12-21",6,136,76.5000,25.5000
88,AW00011087,Tamara Liang,62,Above 50,NEW,2,200,4,4,"2013-08-09",6,140,100.0000,33.3333
89,AW00011088,Hunter Davis,61,Above 50,NEW,2,3176,7,7,"2013-11-12",10,137,1588.0000,317.6000
90,AW00011089,Abigail Price,62,Above 50,NEW,2,3188,7,7,"2013-11-18",11,137,1594.0000,289.8182
91,AW00011090,Trevor Bryant,56,Above 50,VIP,3,6703,6,6,"2013-11-21",28,137,2234.3333,239.3929
92,AW00011091,Dalton Perez,62,Above 50,NEW,28,1186,59,25,"2014-01-08",11,135,42.3571,107.8182
93,AW00011092,Cheryl Diaz,52,Above 50,VIP,3,8110,5,5,"2013-06-21",27,142,2703.3333,300.3704
94,AW00011093,Aimee He,46,"40-49",VIP,3,8180,7,7,"2013-06-08",26,142,2726.6667,314.6154
95,AW00011094,Cedric Ma,57,Above 50,NEW,3,236,8,8,"2014-01-11",9,135,78.6667,26.2222
96,AW00011095,Chad Kumar,57,Above 50,VIP,3,8158,7,7,"2013-06-25",27,142,2719.3333,302.1481
97,AW00011096,Andr├®s Anand,57,Above 50,VIP,3,8063,4,4,"2013-07-30",28,141,2687.6667,287.9643
98,AW00011097,Edwin Nara,52,Above 50,VIP,3,8099,5,5,"2013-07-24",28,141,2699.6667,289.2500
99,AW00011098,Mallory Rubio,58,Above 50,NEW,3,89,4,4,"2013-10-16",8,138,29.6667,11.1250
100,AW00011099,Adam Ross,58,Above 50,VIP,3,8216,9,8,"2013-07-01",27,141,2738.6667,304.2963
101,AW00011100,Latasha Navarro,59,Above 50,VIP,3,8172,7,7,"2013-08-07",28,140,2724.0000,291.8571
102,AW00011101,Abby Sai,54,Above 50,VIP,3,8262,7,7,"2013-06-29",26,142,2754.0000,317.7692
103,AW00011102,Julia Nelson,54,Above 50,NEW,3,103,5,5,"2013-12-09",5,136,34.3333,20.6000
104,AW00011103,Cassie Chande,44,"40-49",VIP,3,8182,8,8,"2013-06-06",26,142,2727.3333,314.6923
105,AW00011104,Edgar Sara,50,Above 50,VIP,3,8173,6,6,"2013-06-15",26,142,2724.3333,314.3462
106,AW00011105,Candace Fernandez,54,Above 50,VIP,3,8096,5,5,"2013-06-05",25,142,2698.6667,323.8400
107,AW00011106,Jessie Liu,55,Above 50,VIP,3,8079,3,3,"2013-06-15",25,142,2693.0000,323.1600
108,AW00011107,Bianca Lin,49,"40-49",VIP,3,8171,6,6,"2013-06-21",26,142,2723.6667,314.2692
109,AW00011108,Kari Alvarez,56,Above 50,VIP,3,8124,5,5,"2013-06-23",26,142,2708.0000,312.4615
110,AW00011109,Ruben Kapoor,45,"40-49",VIP,3,8245,8,8,"2013-06-24",26,142,2748.3333,317.1154
111,AW00011110,Curtis Yang,57,Above 50,VIP,3,8093,5,5,"2013-08-20",28,140,2697.6667,289.0357
112,AW00011111,Meredith Gutierrez,57,Above 50,VIP,3,8137,8,8,"2013-08-22",28,140,2712.3333,290.6071
113,AW00011112,Crystal Wang,57,Above 50,VIP,3,8295,6,6,"2013-09-02",28,139,2765.0000,296.2500
114,AW00011113,Micheal Blanco,52,Above 50,NEW,3,110,7,7,"2013-04-21",3,144,36.6667,36.6667
115,AW00011114,Leslie Moreno,57,Above 50,NEW,3,123,7,6,"2013-12-26",9,136,41.0000,13.6667
116,AW00011115,Alvin Cai,57,Above 50,NEW,3,114,6,6,"2014-01-02",11,135,38.0000,10.3636
117,AW00011116,Clinton Carlson,46,"40-49",NEW,3,149,7,7,"2013-10-16",7,138,49.6667,21.2857
118,AW00011117,April Deng,58,Above 50,VIP,3,8185,8,8,"2013-06-25",26,142,2728.3333,314.8077
119,AW00011118,Alvin Zeng,62,Above 50,NEW,3,124,8,6,"2014-01-26",7,135,41.3333,17.7143
120,AW00011119,Evan James,84,Above 50,NEW,2,85,4,4,"2013-11-23",10,137,42.5000,8.5000
121,AW00011120,Beth Jim├®nez,83,Above 50,VIP,3,8242,10,10,"2013-09-19",29,139,2747.3333,284.2069
122,AW00011121,Orlando Suarez,58,Above 50,NEW,3,58,6,5,"2013-11-04",4,137,19.3333,14.5000
123,AW00011122,Byron Vazquez,59,Above 50,NEW,3,43,3,3,"2013-08-22",6,140,14.3333,7.1667
124,AW00011123,Philip Alvarez,59,Above 50,NEW,3,150,8,7,"2014-01-25",9,135,50.0000,16.6667
125,AW00011124,Ross Jordan,56,Above 50,VIP,3,8129,6,6,"2013-06-18",26,142,2709.6667,312.6538
126,AW00011125,Dana Navarro,63,Above 50,NEW,3,79,7,7,"2013-07-03",5,141,26.3333,15.8000
127,AW00011126,Shaun Carson,70,Above 50,REGULAR,3,4971,8,7,"2013-11-03",30,137,1657.0000,165.7000
128,AW00011127,Jan Edwards,44,"40-49",NEW,2,44,3,3,"2013-10-01",6,138,22.0000,7.3333
129,AW00011128,Samantha Long,43,"40-49",NEW,2,144,7,7,"2013-08-12",2,140,72.0000,72.0000
130,AW00011129,Julia Wright,44,"40-49",VIP,2,5873,2,2,"2013-01-09",17,147,2936.5000,345.4706
131,AW00011130,Caroline Russell,39,"30-39",NEW,1,37,2,2,"2013-12-09",0,136,37.0000,37
132,AW00011131,Amanda Rivera,39,"30-39",NEW,5,166,9,9,"2014-01-23",3,135,33.2000,55.3333
133,AW00011132,Melissa Richardson,39,"30-39",NEW,1,2372,6,6,"2013-04-09",0,144,2372.0000,2372
134,AW00011133,Angela Griffin,39,"30-39",NEW,1,72,4,4,"2013-12-30",0,136,72.0000,72
135,AW00011134,Larry Townsend,68,Above 50,REGULAR,3,4911,3,3,"2013-11-03",31,137,1637.0000,158.4194
136,AW00011135,Marcus Harris,39,"30-39",NEW,1,2335,3,3,"2013-04-18",0,144,2335.0000,2335
137,AW00011136,Brianna Morgan,41,"40-49",NEW,1,2381,3,3,"2013-01-03",0,147,2381.0000,2381
138,AW00011137,Jasmine Taylor,41,"40-49",NEW,2,202,5,4,"2014-01-20",6,135,101.0000,33.6667
139,AW00011138,Lauren Davis,41,"40-49",NEW,2,79,4,4,"2013-12-31",3,135,39.5000,26.3333
140,AW00011139,Tanya Moreno,75,Above 50,NEW,2,84,3,3,"2013-10-17",1,138,42.0000,84.0000
141,AW00011140,Javier Alvarez,42,"40-49",NEW,1,40,2,2,"2013-03-19",0,145,40.0000,40
142,AW00011141,Nicole Ramirez,42,"40-49",NEW,2,114,5,5,"2013-09-28",5,139,57.0000,22.8000
143,AW00011142,Eduardo Patterson,42,"40-49",NEW,17,979,36,23,"2014-01-13",11,135,57.5882,89.0000
144,AW00011143,Jonathan Henderson,42,"40-49",NEW,2,48,5,4,"2013-12-19",6,136,24.0000,8.0000
145,AW00011144,Edward Hernandez,40,"40-49",NEW,1,2400,3,3,"2013-01-25",0,147,2400.0000,2400
146,AW00011145,Jasmine Coleman,39,"30-39",NEW,1,2310,3,3,"2013-01-25",0,147,2310.0000,2310
147,AW00011146,Karla Goel,80,Above 50,NEW,3,113,7,6,"2013-09-15",7,139,37.6667,16.1429
148,AW00011147,Ernest Wu,80,Above 50,VIP,3,8195,7,7,"2013-10-16",30,138,2731.6667,273.1667
149,AW00011148,Ross Vazquez,78,Above 50,NEW,3,126,6,5,"2013-12-03",9,136,42.0000,14.0000
150,AW00011149,Theodore Gill,78,Above 50,NEW,3,41,4,4,"2013-11-29",6,137,13.6667,6.8333
151,AW00011150,Russell Shen,78,Above 50,NEW,3,192,8,7,"2013-07-15",4,141,64.0000,48.0000
152,AW00011151,Melinda Gill,77,Above 50,VIP,3,8087,6,6,"2013-10-20",30,138,2695.6667,269.5667
153,AW00011152,James Williams,43,"40-49",NEW,1,2295,1,1,"2013-01-09",0,147,2295.0000,2295
154,AW00011153,Angela James,43,"40-49",NEW,2,110,5,5,"2013-03-29",0,145,55.0000,110
155,AW00011154,Megan Walker,43,"40-49",NEW,1,2320,1,1,"2013-01-10",0,147,2320.0000,2320
156,AW00011155,Hunter Robinson,43,"40-49",NEW,1,2320,1,1,"2013-01-06",0,147,2320.0000,2320
157,AW00011156,Maria Roberts,43,"40-49",NEW,1,2390,4,4,"2013-01-08",0,147,2390.0000,2390
158,AW00011157,Hannah Long,44,"40-49",NEW,2,41,3,3,"2013-09-11",2,139,20.5000,20.5000
159,AW00011158,Jason Wright,44,"40-49",NEW,1,2396,3,3,"2013-01-19",0,147,2396.0000,2396
160,AW00011159,Brianna Hughes,44,"40-49",NEW,2,48,5,4,"2013-11-07",2,137,24.0000,24.0000
161,AW00011160,Maurice Tang,45,"40-49",NEW,1,2322,2,2,"2013-02-21",0,146,2322.0000,2322
162,AW00011161,Emily Wood,45,"40-49",NEW,2,94,6,6,"2013-11-11",5,137,47.0000,18.8000
163,AW00011162,Chase Cox,45,"40-49",NEW,1,2330,2,2,"2013-02-18",0,146,2330.0000,2330
164,AW00011163,Gabriel Wang,44,"40-49",NEW,2,46,4,4,"2013-08-05",3,140,23.0000,15.3333
165,AW00011164,Devin Brooks,45,"40-49",NEW,2,145,6,6,"2013-08-05",3,140,72.5000,48.3333
166,AW00011165,Jocelyn Alexander,46,"40-49",NEW,2,103,3,3,"2013-06-05",0,142,51.5000,103
167,AW00011166,Ashley Martinez,47,"40-49",NEW,2,88,5,5,"2013-12-06",2,136,44.0000,44.0000
168,AW00011167,Jasmine Barnes,47,"40-49",NEW,2,3126,4,4,"2013-11-28",11,137,1563.0000,284.1818
169,AW00011168,David Rodriguez,51,Above 50,NEW,2,3136,7,7,"2013-11-16",10,137,1568.0000,313.6000
170,AW00011169,Bryce Richardson,51,Above 50,NEW,2,81,5,5,"2013-09-24",4,139,40.5000,20.2500
171,AW00011170,Carol Howard,51,Above 50,NEW,2,157,7,7,"2013-12-29",4,136,78.5000,39.2500
172,AW00011171,Jonathan Hill,46,"40-49",VIP,3,6716,8,8,"2013-11-07",27,137,2238.6667,248.7407
173,AW00011172,Gabrielle Adams,51,Above 50,NEW,2,129,7,6,"2014-01-11",8,135,64.5000,16.1250
174,AW00011173,Sarah Thomas,52,Above 50,NEW,2,103,3,3,"2013-12-24",10,136,51.5000,10.3000
175,AW00011174,Nicholas Robinson,52,Above 50,NEW,2,48,5,4,"2013-07-25",0,141,24.0000,48
176,AW00011175,Luis Wang,56,Above 50,VIP,3,6710,8,8,"2013-11-03",27,137,2236.6667,248.5185
177,AW00011176,Mason Roberts,46,"40-49",REGULAR,28,1317,60,27,"2014-01-27",12,135,47.0357,109.7500
178,AW00011177,Jose Flores,77,Above 50,NEW,2,135,6,6,"2013-10-14",7,138,67.5000,19.2857
179,AW00011178,Nathan Johnson,70,Above 50,NEW,2,145,6,6,"2013-05-26",3,143,72.5000,48.3333
180,AW00011179,Molly Rodriguez,65,Above 50,NEW,2,125,6,6,"2014-01-09",10,135,62.5000,12.5000
181,AW00011180,April Anand,76,Above 50,NEW,2,138,6,6,"2013-09-25",6,139,69.0000,23.0000
182,AW00011181,Devin Martin,65,Above 50,NEW,2,41,3,3,"2013-07-11",2,141,20.5000,20.5000
183,AW00011182,Stephanie Torres,75,Above 50,NEW,2,81,5,5,"2014-01-05",4,135,40.5000,20.2500
184,AW00011183,Jasmine Lee,75,Above 50,NEW,2,46,4,4,"2013-06-13",1,142,23.0000,46.0000
185,AW00011184,Meghan Hernandez,69,Above 50,NEW,2,68,5,5,"2013-10-09",2,138,34.0000,34.0000
186,AW00011185,Ashley Henderson,75,Above 50,NEW,27,1616,68,29,"2014-01-26",11,135,59.8519,146.9091
187,AW00011186,Sarah Price,75,Above 50,NEW,2,41,3,3,"2014-01-07",3,135,20.5000,13.6667
188,AW00011187,Jennifer Cooper,75,Above 50,NEW,2,108,4,4,"2013-08-06",4,140,54.0000,27.0000
189,AW00011188,Catherine Morris,75,Above 50,NEW,2,81,5,5,"2014-01-21",3,135,40.5000,27.0000
190,AW00011189,Lawrence Blanco,75,Above 50,VIP,2,5944,6,6,"2013-02-05",18,146,2972.0000,330.2222
191,AW00011190,Carson Bryant,75,Above 50,NEW,2,46,4,4,"2014-01-16",5,135,23.0000,9.2000
192,AW00011191,Kristi Perez,73,Above 50,VIP,3,6743,7,7,"2013-11-06",27,137,2247.6667,249.7407
193,AW00011192,James Brown,74,Above 50,NEW,2,114,5,5,"2013-09-25",3,139,57.0000,38.0000
194,AW00011193,Ian Gray,74,Above 50,NEW,2,41,3,3,"2013-08-18",6,140,20.5000,6.8333
195,AW00011194,Jacqueline Price,74,Above 50,NEW,2,105,6,6,"2013-12-08",9,136,52.5000,11.6667
196,AW00011195,Megan Henderson,73,Above 50,NEW,2,105,6,6,"2013-10-22",6,138,52.5000,17.5000
197,AW00011196,Alfredo Romero,73,Above 50,NEW,2,162,4,4,"2013-09-24",7,139,81.0000,23.1429
198,AW00011197,Andrea Morris,73,Above 50,NEW,2,207,6,5,"2013-07-20",3,141,103.5000,69.0000
199,AW00011198,Brooke Sanders,72,Above 50,NEW,2,98,4,4,"2013-02-13",0,146,49.0000,98
200,AW00011199,Jacqueline Bennett,67,Above 50,NEW,2,132,6,6,"2013-10-17",7,138,66.0000,18.8571
201,AW00011200,Jason Griffin,71,Above 50,REGULAR,27,1461,55,26,"2014-01-20",12,135,54.1111,121.7500
202,AW00011201,Amanda Foster,72,Above 50,NEW,2,181,6,6,"2013-09-09",2,139,90.5000,90.5000
203,AW00011202,Alexia Price,66,Above 50,NEW,2,74,3,3,"2013-09-21",0,139,37.0000,74
204,AW00011203,Luis Diaz,65,Above 50,NEW,17,800,32,19,"2013-12-11",10,136,47.0588,80.0000
205,AW00011204,Destiny Rivera,71,Above 50,NEW,2,77,4,4,"2013-11-10",3,137,38.5000,25.6667
206,AW00011205,Abby Fernandez,71,Above 50,NEW,2,37,2,2,"2013-10-08",2,138,18.5000,18.5000
207,AW00011206,Blake Flores,71,Above 50,NEW,2,77,4,4,"2013-05-30",1,143,38.5000,77.0000
208,AW00011207,Danielle Cox,71,Above 50,NEW,2,77,4,4,"2013-10-18",9,138,38.5000,8.5556
209,AW00011208,Maria Reed,71,Above 50,NEW,2,134,7,7,"2013-09-17",7,139,67.0000,19.1429
210,AW00011209,Allison Evans,71,Above 50,NEW,2,37,2,2,"2014-01-22",10,135,18.5000,3.7000
211,AW00011210,Edward Wood,71,Above 50,NEW,2,70,5,5,"2013-09-06",4,139,35.0000,17.5000
212,AW00011211,Samantha Russell,64,Above 50,NEW,17,792,33,22,"2014-01-07",11,135,46.5882,72.0000
213,AW00011212,Chloe Campbell,69,Above 50,REGULAR,17,824,33,20,"2014-01-17",12,135,48.4706,68.6667
214,AW00011213,Stephanie Murphy,70,Above 50,NEW,2,77,4,4,"2013-09-09",6,139,38.5000,12.8333
215,AW00011214,Charles Miller,69,Above 50,NEW,2,162,4,4,"2013-11-19",3,137,81.0000,54.0000
216,AW00011215,Ana Perry,63,Above 50,NEW,17,1154,32,21,"2013-12-15",10,136,67.8824,115.4000
217,AW00011216,Jasmine Torres,69,Above 50,VIP,2,5948,5,5,"2013-02-05",18,146,2974.0000,330.4444
218,AW00011217,Natalie Adams,69,Above 50,VIP,2,5953,3,3,"2013-02-14",18,146,2976.5000,330.7222
219,AW00011218,Olivia Brown,63,Above 50,NEW,2,39,3,2,"2014-01-04",10,135,19.5000,3.9000
220,AW00011219,Charles Cook,68,Above 50,NEW,2,39,3,2,"2014-01-24",3,135,19.5000,13.0000
221,AW00011220,Erica Huang,64,Above 50,NEW,2,50,4,4,"2013-12-13",9,136,25.0000,5.5556
222,AW00011221,Nathan Perry,69,Above 50,NEW,2,46,4,4,"2013-10-17",6,138,23.0000,7.6667
223,AW00011222,Alexandra Rivera,69,Above 50,NEW,2,208,6,6,"2013-11-28",1,137,104.0000,208.0000
224,AW00011223,Hailey Patterson,68,Above 50,NEW,27,1293,65,26,"2014-01-06",11,135,47.8889,117.5455
225,AW00011224,Tiffany Li,68,Above 50,VIP,3,6685,5,5,"2013-12-03",28,136,2228.3333,238.7500
226,AW00011225,Madison Lee,63,Above 50,NEW,2,73,5,5,"2013-09-06",3,139,36.5000,24.3333
227,AW00011226,Sydney Ross,62,Above 50,NEW,2,37,2,2,"2013-03-31",1,144,18.5000,37.0000
228,AW00011227,Marshall Chavez,62,Above 50,VIP,2,5910,5,5,"2013-02-10",19,146,2955.0000,311.0526
229,AW00011228,Ashley Jones,68,Above 50,NEW,2,77,4,4,"2014-01-17",3,135,38.5000,25.6667
230,AW00011229,Adrian Stewart,67,Above 50,NEW,2,81,5,5,"2014-01-25",6,135,40.5000,13.5000
231,AW00011230,Amber Turner,68,Above 50,NEW,2,54,5,5,"2013-12-09",5,136,27.0000,10.8000
232,AW00011231,Dennis Zhang,61,Above 50,NEW,2,64,4,4,"2013-11-12",9,137,32.0000,7.1111
233,AW00011232,Hailey Bryant,67,Above 50,NEW,2,39,3,2,"2013-11-13",2,137,19.5000,19.5000
234,AW00011233,Todd Li,61,Above 50,NEW,2,179,7,7,"2013-06-08",4,142,89.5000,44.7500
235,AW00011234,Anna Griffin,66,Above 50,NEW,2,76,4,4,"2013-09-19",7,139,38.0000,10.8571
236,AW00011235,Angel Stewart,67,Above 50,NEW,2,138,6,5,"2014-01-05",6,135,69.0000,23.0000
237,AW00011236,Jeremy Butler,67,Above 50,NEW,2,114,5,5,"2014-01-06",3,135,57.0000,38.0000
238,AW00011237,Clarence Anand,61,Above 50,VIP,4,10566,6,6,"2013-11-25",27,137,2641.5000,391.3333
